Date,CLEBI
2025-01-09,1861.2276611328125
2025-01-10,1873.5537109375
2025-01-13,1807.182861328125
2025-01-14,1780.634521484375
2025-01-15,1776.8419189453125
2025-01-16,1800.5457763671875
2025-01-17,1815.7161865234375
2025-01-20,1819.5087890625
2025-01-21,1782.53076171875
2025-01-22,1824.2496337890625
2025-01-23,1848.901611328125
2025-01-24,1860.279541015625
2025-01-27,1794.8568115234375
2025-01-28,1795.804931640625
2025-01-29,1821.4051513671875
2025-01-30,1836.57568359375
2025-01-31,1823.301513671875
2025-02-03,1824.2496337890625
2025-02-04,1876.3980712890625
2025-02-05,1829.9385986328125
2025-02-06,1887.7760009765625
2025-02-07,1918.116943359375
2025-02-10,1902.9464111328125
2025-02-11,1991.1248779296875
2025-02-12,2000.6064453125
2025-02-13,2015.77685546875
2025-02-14,2019.5694580078125
2025-02-17,2011.0361328125
2025-02-18,2114.385009765625
2025-02-19,2123.866455078125
2025-02-20,2116.28125
2025-02-21,2010.087890625
2025-02-24,1957.939453125
2025-02-25,1809.0791015625
2025-02-26,1821.4051513671875
2025-02-27,1896.309326171875
2025-02-28,1893.4649658203125
2025-03-03,1945.6134033203125
2025-03-04,1957.939453125
2025-03-05,2132.39990234375
2025-03-06,2158.0
2025-03-07,2111.54052734375
2025-03-10,2110.59228515625
2025-03-11,2165.585205078125
2025-03-12,2243.333984375
2025-03-13,2292.637939453125
2025-03-14,2353.31982421875
2025-03-17,2342.89013671875
2025-03-18,2382.23876953125
2025-03-19,2261.348876953125
2025-03-20,2465.2021484375
2025-03-21,2424.905517578125
2025-03-24,2389.349853515625
2025-03-25,2552.906494140625
2025-03-26,2676.16650390625
2025-03-27,2680.907470703125
2025-03-28,2797.056396484375
2025-04-02,2763.870849609375
2025-04-03,2946.390625
2025-04-04,2986.687255859375
2025-04-07,3053.05810546875
2025-04-08,2932.16845703125
2025-04-09,2936.9091796875
2025-04-10,2898.98291015625
2025-04-11,2868.16796875
2025-04-14,2832.612060546875
2025-04-15,2754.389404296875
2025-04-16,2664.314697265625
2025-04-17,2718.83349609375
2025-04-18,2742.537353515625
2025-04-21,2799.4267578125
2025-04-22,2697.5
2025-04-24,2835.0
2025-04-25,2702.5
2025-04-28,2740.0
2025-04-29,2632.5
2025-04-30,2515.0
2025-05-02,2607.5
2025-05-05,2502.5
2025-05-06,2452.0
2025-05-07,2341.0
2025-05-08,2310.0
2025-05-09,2466.0
2025-05-12,2712.5
2025-05-13,2530.0
2025-05-14,2471.0
2025-05-15,2224.0
